employee_id,department,step,step_start,step_end,days_taken,status
EMP0001,Marketing,Document Submission,2025-01-29,2025-02-01,3,Completed
EMP0001,Marketing,IT Setup,2025-02-01,2025-02-06,5,Completed
EMP0001,Marketing,Training,2025-02-06,2025-02-09,3,Completed
EMP0001,Marketing,Manager Briefing,2025-02-09,2025-02-10,1,Completed
EMP0001,Marketing,System Access,2025-02-10,2025-02-18,8,Completed
EMP0002,Operations,Document Submission,2023-01-31,2023-02-04,4,Completed
EMP0002,Operations,IT Setup,2023-02-04,2023-02-19,15,Completed
EMP0002,Operations,Training,2023-02-19,2023-02-22,3,Completed
EMP0002,Operations,Manager Briefing,2023-02-22,2023-02-26,4,Completed
EMP0002,Operations,System Access,2023-02-26,2023-03-04,6,Completed
EMP0003,Marketing,Document Submission,2024-07-12,2024-07-14,2,Completed
EMP0003,Marketing,IT Setup,2024-07-14,2024-07-27,13,Completed
EMP0003,Marketing,Training,2024-07-27,2024-07-30,3,Completed
EMP0003,Marketing,Manager Briefing,2024-07-30,2024-08-02,3,Completed
EMP0003,Marketing,System Access,2024-08-02,2024-08-07,5,Completed
EMP0004,Engineering,Document Submission,2023-06-13,2023-06-14,1,Completed
EMP0004,Engineering,IT Setup,2023-06-14,2023-06-28,14,Completed
EMP0004,Engineering,Training,2023-06-28,2023-06-30,2,Completed
EMP0004,Engineering,Manager Briefing,2023-06-30,2023-07-02,2,Completed
EMP0004,Engineering,System Access,2023-07-02,2023-07-05,3,Completed
EMP0005,Sales,Document Submission,2023-12-11,2023-12-13,2,Completed
EMP0005,Sales,IT Setup,2023-12-13,2023-12-28,15,Completed
EMP0005,Sales,Training,2023-12-28,2023-12-30,2,Completed
EMP0005,Sales,Manager Briefing,2023-12-30,2023-12-31,1,Completed
EMP0005,Sales,System Access,2023-12-31,2024-01-04,4,Completed
EMP0006,Engineering,Document Submission,2024-07-03,2024-07-07,4,Completed
EMP0006,Engineering,IT Setup,2024-07-07,2024-07-17,10,Completed
EMP0006,Engineering,Training,2024-07-17,2024-07-21,4,Completed
EMP0006,Engineering,Manager Briefing,2024-07-21,2024-07-22,1,Completed
EMP0006,Engineering,System Access,2024-07-22,2024-07-27,5,Completed
EMP0007,Operations,Document Submission,2023-03-13,2023-03-14,1,Completed
EMP0007,Operations,IT Setup,2023-03-14,2023-03-27,13,Completed
EMP0007,Operations,Training,2023-03-27,2023-03-29,2,Completed
EMP0007,Operations,Manager Briefing,2023-03-29,2023-04-02,4,Completed
EMP0007,Operations,System Access,2023-04-02,2023-04-12,10,Completed
EMP0008,Engineering,Document Submission,2024-04-09,2024-04-13,4,Completed
EMP0008,Engineering,IT Setup,2024-04-13,2024-04-28,15,Completed
EMP0008,Engineering,Training,2024-04-28,2024-04-30,2,Completed
EMP0008,Engineering,Manager Briefing,2024-04-30,2024-05-03,3,Completed
EMP0008,Engineering,System Access,2024-05-03,2024-05-11,8,Completed
EMP0009,HR,Document Submission,2023-10-01,2023-10-04,3,Completed
EMP0009,HR,IT Setup,2023-10-04,2023-10-19,15,Completed
EMP0009,HR,Training,2023-10-19,2023-10-20,1,Completed
EMP0009,HR,Manager Briefing,2023-10-20,2023-10-21,1,Completed
EMP0009,HR,System Access,2023-10-21,2023-10-27,6,Completed
EMP0010,Operations,Document Submission,2023-06-17,2023-06-18,1,Completed
EMP0010,Operations,IT Setup,2023-06-18,2023-06-25,7,Completed
